trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
20,0,20,0,33.66955260001123,,33.65891160001047,33.66955260001123,34.66972950001946,34.66972950001946,35.50527710001916,0,up,1,0.8209791000117548,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
21,0,21,0,35.519722199998796,,35.50902940001106,35.519722199998796,36.51952259999234,36.51952259999234,37.17140350001864,0,up,1,0.6350832000025548,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
22,0,22,0,37.18631670001196,,37.1751321000047,37.18631670001196,38.18642899999395,38.18642899999395,39.08826930000214,0,down,0,0.8913456999580376,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
23,0,23,0,39.103050800040364,,39.091938700003084,39.103050800040364,40.10295530001167,40.10295530001167,40.75506460003089,3,down,1,0.6462993999593891,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
24,0,24,0,40.76969879999524,,40.75936820002971,40.76969879999524,41.77047859999584,41.77047859999584,42.721199900028296,-5,down,1,0.9387267000274733,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
25,0,25,0,42.73632120003458,,42.72518370003672,42.73632120003458,43.73439490003511,43.75234790000832,44.4520530999871,-4,down,1,0.7093334000092,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
26,0,26,0,44.46807280002395,,44.45323530002497,44.46807280002395,45.45316879998427,45.47021160001168,46.05524980003247,3,down,1,0.5958759000059217,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
27,0,27,0,46.070370400033426,,46.058883999998216,46.070370400033426,47.069368300028145,47.069368300028145,47.85575809999136,0,up,1,0.7738187999930233,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
28,0,28,0,47.86970199999632,,47.85968940000748,47.86970199999632,48.87013420002768,48.87013420002768,49.505312799999956,2,down,1,0.6289354999898933,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
29,0,29,0,49.520299200026784,,49.50892679998651,49.520299200026784,50.520388400007505,50.520388400007505,51.2386352000176,-1,up,0,0.711860399984289,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
30,0,30,0,51.253032300039195,,51.242450700025074,51.253032300039195,52.25319840002339,52.25319840002339,53.088079900015146,0,up,0,0.8202464000205509,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
31,0,31,0,53.1037803000072,,53.091810400015675,53.1037803000072,54.1036124000093,54.1036124000093,54.7886324999854,2,up,0,0.6749189000111073,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
32,0,32,0,54.80308819998754,,54.79247819999,54.80308819998754,55.80332050001016,55.80332050001016,56.587160199997015,1,up,0,0.7775293000158854,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
33,0,33,0,56.601274400018156,,56.58845969999675,56.601274400018156,57.6032419000403,57.6032419000403,58.20497020002222,0,up,0,0.5924979000119492,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
34,0,34,0,58.22016160003841,,58.208908700034954,58.22016160003841,59.220055799989495,59.220055799989495,59.82165450003231,0,up,1,0.5907521999906749,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
35,0,35,0,59.83682199998293,,59.82572550000623,59.83682199998293,60.836085900024045,60.836085900024045,61.43844040000113,0,up,1,0.596467399969697,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
36,0,36,0,61.45306900003925,,61.442090400028974,61.45306900003925,62.45306939998409,62.45306939998409,63.0554849000182,0,up,1,0.5924432000028901,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
37,0,37,0,63.06970649998402,,63.05925390002085,63.06970649998402,64.06990850000875,64.06990850000875,64.7388181000133,0,up,1,0.6627263000118546,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
38,0,38,0,64.75276750000194,,64.74252249998972,64.75276750000194,65.75274630001513,65.75274630001513,66.4550375000108,-2,up,0,0.6873992999899201,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
39,0,39,0,66.46980530000292,,66.45880080002826,66.46980530000292,67.46962829999393,67.46962829999393,68.13961469999049,0,up,1,0.6663174999994226,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
40,0,40,0,68.15327539999271,,68.14327880000928,68.15327539999271,69.15288350003539,69.15288350003539,69.63902740000049,3,down,1,0.48068669997155666,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
41,0,41,0,69.65313560003415,,69.64289970003301,69.65313560003415,70.65312600001926,70.65312600001926,71.18953580001835,3,down,1,0.5254030000069179,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
42,0,42,0,71.20346340001561,,71.19386540004052,71.20346340001561,72.20125290000578,72.21890189999249,73.16976180003257,-1,up,0,0.9605120000196621,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
43,0,43,0,73.18535720004002,,73.17297000001417,73.18535720004002,74.18463690002682,74.20156479999423,75.12382179999258,1,down,1,0.9269572000484914,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
